id;Текст сущности;REF (ID);Частота;Type (заполнить);Subtype (заполнить)
orgName;Приказа общественного призрения;#org_prikaz_public_welfare;4;Организации;Общ. орг-ии
orgName;Мужская классическая гимназия;#org_мужская_классическая_гимназия;2;Организации;Образование
orgName;Главное управление;#org_главное_управление;1;Организации;Гос. Органы
orgName;Особенным усердием отличался Губернский суд;#org_особенным_усердием_отличался_губернский_суд;1;Организации;Гос. Органы
orgName;Губернское правление;#org_gubernskoe_pravlenie;1;Организации;Гос. Органы
orgName;Троицкий солеваренный завод;#org_troitsk_salt_works;1;Организации;Пром-ть
orgName;Губернского правления;#org_gubernskoe_pravlenie;1;Организации;Гос. Органы
orgName;Недоимки эти казенная палата;#org_недоимки_эти_казенная_палата;1;Организации;Гос. Органы
orgName;названном году библиотека;#org_названном_году_библиотека;1;Организации;Гос. Органы
orgName;организовано управление;#org_организовано_управление;1;Организации;Гос. Органы
orgName;что библиотека;#org_что_библиотека;1;Организации;Гос. Органы
orgName;Губернское правление;;1;Организации;Гос. Органы
orgName;Приказ общественного призрения;;1;Организации;Общ. орг-ии
orgName;Троицкий солеваренный завод;;1;Организации;Пром-ть
orgName;Главное управление;;1;Организации;Гос. Органы
orgName;Особенным усердием отличался Губернский суд;;1;Организации;Гос. Органы
orgName;Недоимки эти казенная палата;;1;Организации;Гос. Органы
orgName;Красноярская же городовая больница;;1;Организации;Медицина
orgName;названном году библиотека;;1;Организации;Гос. Органы
orgName;организовано управление;;1;Организации;Гос. Органы
orgName;что библиотека;;1;Организации;Гос. Органы
orgName;Мужская классическая гимназия;;1;Организации;Образование
persName;Лохвицкий;#person_лохвицкий;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Титова;#person_титова;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Коновалова;#person_коновалова;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Лохвицкий;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Титова;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Степанове;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Коновалова;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
placeName;Енисейской губернии;#place_enisei_province;23;Места;Адм. единицы
placeName;Канске;#place_kansk;13;Места;Насел. пункты
placeName;Ачинске;#place_achinsk;13;Места;Насел. пункты
placeName;Минусинске;#place_minusinsk;12;Места;Насел. пункты
placeName;г. Красноярске;#place_krasnoyarsk;11;Места;Насел. пункты
placeName;Енисейске;#place_enisei_okrug;10;Места;Насел. пункты
placeName;Енисейский;#place_enisei_okrug;9;Места;Насел. пункты
placeName;Минусинский;#place_minusinsk;9;Места;Насел. пункты
