id;Текст сущности;REF (ID);Частота;Type (заполнить);Subtype (заполнить)
orgName;недавно еще Минусинская Городская Дума;#org_недавно_еще_минусинская_городская_дума;1;Организации;Гос. Органы
orgName;губернское по воинской повинности присутствие;#org_губернское_по_воинской_повинности_присутствие;1;Организации;Гос. Органы
orgName;том числе тюремный комитет;#org_том_числе_тюремный_комитет;1;Организации;Тюрьмы
orgName;где получило медицинский совет;#org_где_получило_медицинский_совет;1;Организации;Медицина
orgName;течение года библиотека;#org_течение_года_библиотека;1;Организации;Образование
orgName;Владимирский детский приют;;1;Организации;Образование
orgName;недавно еще Минусинская Городская Дума;;1;Организации;Гос. Органы
orgName;Якутское областное казначейство;;1;Организации;Гос. Органы
orgName;губернское по воинской повинности присутствие;;1;Организации;Гос. Органы
orgName;том числе тюремный комитет;;1;Организации;Тюрьмы
orgName;где получило медицинский совет;;1;Организации;Медицина
orgName;течение года библиотека;;1;Организации;Образование
orgName;Мужская классическая гимназия;;1;Организации;Образование
persName;Н. Н. Гадалова;#person_гадалова;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;А. М. Сибирякова;#person_сибирякова;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Ивановым;#person_ивановым;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Стрелковский;#person_стрелковский;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Романова;#person_романова;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Токаревой;#person_токаревой;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Кузнецовым;#person_кузнецовым;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Шарыповском;#person_шарыповском;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Щеголева;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Гадалова;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Сибирякова;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Ивановым;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Стрелковский;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Романова;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Токаревой;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Кузнецовым;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Шарыповском;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Шарыповской;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
placeName;Енисейской губернии;#place_enisei_province;29;Места;Адм. единицы
placeName;Красноярске;#place_krasnoyarsk;21;Места;Насел. пункты
placeName;Ачинске;#place_achinsk;18;Места;Насел. пункты
placeName;Енисейского;#place_enisei_okrug;15;Места;Насел. пункты
placeName;Енисейске;#place_enisei_okrug;15;Места;Насел. пункты
placeName;Минусинском;#place_minusinsk;14;Места;Насел. пункты
placeName;Минусинске;#place_minusinsk;13;Места;Насел. пункты
placeName;Ачинском;#place_achinsk;12;Места;Насел. пункты
placeName;Канске;#place_kansk;12;Места;Насел. пункты
placeName;Туруханском;#place_turukhansk;12;Места;Насел. пункты
placeName;Енисейском;#place_enisei_okrug;11;Места;Насел. пункты
placeName;Канском;#place_kansk;10;Места;Насел. пункты
placeName;Красноярской;#place_krasnoyarsk;10;Места;Насел. пункты
placeName;Красноярский;#place_krasnoyarsk;9;Места;Насел. пункты
placeName;Красноярском;#place_krasnoyarsk;9;Места;Насел. пункты
placeName;Красноярском округе;#place_krasnoyarsk_okrug;9;Места;Адм. единицы
placeName;Минусинском округе;#place_minusinsk_okrug;9;Места;Адм. единицы
placeName;Красноярска;#place_krasnoyarsk;9;Места;Насел. пункты
placeName;Енисейский;#place_enisei_okrug;8;Места;Насел. пункты
placeName;Енисейском округе;#place_enisei_okrug;8;Места;Адм. единицы
placeName;Енисейскому;#place_enisei_okrug;8;Места;Насел. пункты
placeName;Минусинскому;#place_minusinsk;8;Места;Насел. пункты
placeName;Минусинского;#place_minusinsk;8;Места;Насел. пункты
placeName;Туруханске;#place_turukhansk;8;Места;Насел. пункты
placeName;Енисейск;#place_enisei_okrug;8;Места;Насел. пункты
placeName;Енисейской;#place_enisei_okrug;8;Места;Насел. пункты
placeName;Канского;#place_kansk;7;Места;Насел. пункты
placeName;Ачинский;#place_achinsk;7;Места;Насел. пункты
placeName;Канскому;#place_kansk;7;Места;Насел. пункты
placeName;Ачинскому;#place_achinsk;7;Места;Насел. пункты
placeName;Енисейска;#place_enisei_okrug;7;Места;Насел. пункты
placeName;Канском округе;#place_kansk_okrug;6;Места;Адм. единицы
placeName;Канский;#place_kansk;6;Места;Насел. пункты
placeName;Минусинский;#place_minusinsk;6;Места;Насел. пункты
placeName;Красноярскому;#place_krasnoyarsk;6;Места;Насел. пункты
placeName;Канского округа;#place_kansk_okrug;6;Места;Адм. единицы
placeName;Минусинского округа;#place_minusinsk_okrug;6;Места;Адм. единицы
placeName;Ачинска;#place_achinsk;6;Места;Насел. пункты
placeName;Минусинск;#place_minusinsk;6;Места;Насел. пункты
